Khối Lớp,Học Kỳ,STT,Mã Bài,Tên Bài Học,Tác Giả,Trọng Tâm Bài Học / Nội Dung,Phân Loại Nguồn,Tập / Trang SGK Đối Chiếu,Link Đọc Trực Tuyến
Lớp 1,Học kỳ 1,15,tv-g1-b15,Bài 15: V v - X x,NXB Giáo Dục VN,Chuẩn hóa kiến thức âm vần Lớp 1 theo chương trình GDPT 2018.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 42, 43",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,16,tv-g1-b16,Bài 16: Ch ch - Kh kh,NXB Giáo Dục VN,Chuẩn hóa kiến thức âm vần Lớp 1 theo chương trình GDPT 2018.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 44, 45",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,17,tv-g1-b17,Bài 17: Nh nh - Ng ng,NXB Giáo Dục VN,Chuẩn hóa kiến thức âm vần Lớp 1 theo chương trình GDPT 2018.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 46, 47",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,18,tv-g1-b18,Bài 18: Ngh ngh - Gh gh,NXB Giáo Dục VN,Chuẩn hóa kiến thức âm vần Lớp 1 theo chương trình GDPT 2018.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 48, 49",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,19,tv-g1-b19,Bài 19: An an - At at,NXB Giáo Dục VN,Chuẩn hóa kiến thức âm vần Lớp 1 theo chương trình GDPT 2018.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 52, 53",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,20,tv-g1-b20,Bài 20: Ôn tập cuối Học kì 1,NXB Giáo Dục VN,Chuẩn hóa kiến thức âm vần Lớp 1 theo chương trình GDPT 2018.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 88, 89",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 2,21,tv-g1-b21,Bài 1: Tôi là học sinh lớp 1,Trung Sơn,"Đọc trôi chảy toàn bài, hiểu niềm tự hào và sự trưởng thành của học sinh lớp 1 khi mang đồng phục trường Lê Quý Đôn.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập hai — Trang 10, 11 (Chủ điểm 1: Tôi và các bạn)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-hai.4698214319
Lớp 1,Học kỳ 2,22,tv-g1-b22,Bài 2: Đôi tai xấu xí,NXB Giáo Dục VN,"Hiểu được mỗi bạn đều có đặc điểm riêng đáng quý, tự tin vào bản thân.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập hai — Trang 14, 15 (Chủ điểm 1: Tôi và các bạn)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-hai.4698214319
Lớp 1,Học kỳ 2,23,tv-g1-b23,Bài 3: Bạn của gió,NXB Giáo Dục VN,"Đọc diễn cảm bài thơ, cảm nhận vẻ đẹp và sự hữu ích của gió trong thiên nhiên.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập hai — Trang 18, 19 (Chủ điểm 2: Thế giới quanh em)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-hai.4698214319
Lớp 1,Học kỳ 2,24,tv-g1-b24,Bài 4: Rửa tay trước khi ăn,NXB Giáo Dục VN,"Rèn luyện thói quen giữ gìn vệ sinh thân thể, bảo vệ sức khỏe cho học sinh lớp 1.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập hai — Trang 22, 23 (Chủ điểm 3: Giữ gìn vệ sinh thân thể)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-hai.4698214319
Lớp 1,Học kỳ 2,25,tv-g1-b25,Bài 5: Lời chào,Phạm Cúc,"Học thuộc lòng bài thơ, hình thành thói quen chào hỏi lễ phép mọi lúc mọi nơi.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập hai — Trang 26, 27 (Chủ điểm 4: Lễ phép và văn minh)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-hai.4698214319
Lớp 1,Học kỳ 2,26,tv-g1-b26,Bài 6: Mẹ và cô,Trần Quốc Toàn,"Học thuộc lòng bài thơ, cảm nhận tình cảm yêu thương của mẹ và cô giáo.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập hai — Trang 34, 35 (Chủ điểm 5: Mái trường mến yêu)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-hai.4698214319
Lớp 1,Học kỳ 2,27,tv-g1-b27,Bài 7: Cây bàng trường em,Xuân Quỳnh,Đọc hiểu đoạn văn miêu tả vẻ đẹp của cây bàng bốn mùa trong sân trường.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập hai — Trang 42, 43 (Chủ điểm 5: Mái trường mến yêu)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-hai.4698214319
Lớp 1,Học kỳ 2,28,tv-g1-b28,Bài 8: Cậu bé thông minh,Truyện cổ tích Việt Nam,"Đọc hiểu truyện cổ tích, ca ngợi sự nhanh trí, bình tĩnh và thông minh của cậu bé.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập hai — Trang 50, 51 (Chủ điểm 6: Truyện cổ tích)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-hai.4698214319
Lớp 1,Học kỳ 2,29,tv-g1-b29,Bài 9: Quê hương tươi đẹp,Đồng dao Việt Nam,"Đọc diễn cảm bài đồng dao, bồi dưỡng tình yêu quê hương đất nước thiết tha.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập hai — Trang 62, 63 (Chủ điểm 7: Quê hương đất nước)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-hai.4698214319
Lớp 1,Học kỳ 2,30,tv-g1-b30,Bài 10: Bác Hồ kính yêu,Bảo Định Giang,"Hiểu tình yêu thương của Bác Hồ với thiếu nhi, học tập và rèn luyện theo 5 điều Bác dạy.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập hai — Trang 74, 75 (Chủ điểm 7: Quê hương đất nước)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-hai.4698214319
Lớp 2,Học kỳ 1,1,tv-g2-b1,Bài 1: Tôi là học sinh lớp 2,NXB Giáo Dục VN,"Đọc diễn cảm bài đọc ngày khai trường, cảm nhận niềm vui và sự tự tin khi bước vào lớp 2.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 10, 11 (Chủ điểm 1: Em lớn lên từng ngày)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,2,tv-g2-b2,Bài 2: Ngày hôm qua đâu rồi?,Bế Kiến Quốc,"Học thuộc lòng bài thơ, hiểu được giá trị của thời gian và ý nghĩa của việc chăm chỉ học tập mỗi ngày.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 14, 15 (Chủ điểm 1: Em lớn lên từng ngày)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,3,tv-g2-b3,Bài 3: Niềm vui của Bi và Bống,NXB Giáo Dục VN,"Đọc hiểu câu chuyện, cảm nhận tình cảm anh em yêu thương, luôn nghĩ và ước mơ quà tặng cho nhau.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 18, 19 (Chủ điểm 1: Em lớn lên từng ngày)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,4,tv-g2-b4,Bài 4: Làm việc thật là vui,Tô Hoài,"Đọc trôi chảy toàn bài, hiểu được lao động và làm việc có ích mang lại niềm vui cho bản thân và mọi người.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 22, 23 (Chủ điểm 1: Em lớn lên từng ngày)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,5,tv-g2-b5,Bài 5: Em có xinh không?,NXB Giáo Dục VN,Hiểu bài học về sự tự tin vào nét đẹp riêng biệt và phẩm chất của bản thân.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 26, 27 (Chủ điểm 2: Đi học vui sao)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,6,tv-g2-b6,Bài 6: Một giờ học,NXB Giáo Dục VN,Rèn luyện sự tự tin phát biểu trước đám đông và tinh thần khích lệ bạn bè.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 30, 31 (Chủ điểm 2: Đi học vui sao)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,7,tv-g2-b7,Bài 7: Cây xấu hổ,Trần Hoài Dương,Cảm nhận vẻ đẹp thiên nhiên và sự hòa nhập cởi mở với bạn bè qua câu chuyện cây xấu hổ.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 34, 35 (Chủ điểm 2: Đi học vui sao)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,8,tv-g2-b8,Bài 8: Cầu thủ dự bị,Minh Chính,"Đọc hiểu câu chuyện, học tập tinh thần kiên trì, không nản chí và nỗ lực hết mình.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 38, 39 (Chủ điểm 2: Đi học vui sao)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,9,tv-g2-b9,Bài 9: Cô giáo lớp em,Nguyễn Xuân Sanh,"Học thuộc lòng bài thơ, cảm nhận tình yêu thương bao la và sự tận tụy của cô giáo.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 42, 43 (Chủ điểm 3: Niềm vui tuổi thơ)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,10,tv-g2-b10,Bài 10: Thời khóa biểu,NXB Giáo Dục VN,"Đọc hiểu thời khóa biểu, rèn luyện kỹ năng tự lập và chuẩn bị sách vở khoa học.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 46, 47 (Chủ điểm 3: Niềm vui tuổi thơ)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,11,tv-g2-b11,Bài 11: Cái bàn học của em,NXB Giáo Dục VN,"Đọc hiểu đoạn văn miêu tả đồ vật thân quen, giáo dục ý thức giữ gìn bàn học sạch đẹp.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 50, 51 (Chủ điểm 3: Niềm vui tuổi thơ)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,12,tv-g2-b12,Bài 12: Danh sách học sinh tổ 1,NXB Giáo Dục VN,"Tập đọc văn bản thông tin dạng bảng danh sách, tra cứu thông tin theo thứ tự bảng chữ cái.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 54, 55 (Chủ điểm 3: Niềm vui tuổi thơ)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,13,tv-g2-b13,Bài 13: Yêu lắm trường ơi!,Nguyễn Trọng Hoàn,"Học thuộc lòng bài thơ, bồi dưỡng tình yêu trường lớp, thầy cô và bạn bè thân thương.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 58, 59 (Chủ điểm 4: Mái trường thân yêu)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,14,tv-g2-b14,Bài 14: Em học vẽ,Phan Thị Thanh Nhàn,"Đọc diễn cảm bài thơ, phát huy trí tưởng tượng và tình cảm hiếu thảo với cha mẹ.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 62, 63 (Chủ điểm 4: Mái trường thân yêu)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,15,tv-g2-b15,Bài 15: Cuốn sách của em,NXB Giáo Dục VN,"Hiểu cấu tạo của một cuốn sách và hình thành ý thức giữ gìn, trân trọng sách vở.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 66, 67 (Chủ điểm 4: Mái trường thân yêu)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,16,tv-g2-b16,Bài 16: Khi trang sách mở ra,Nguyễn Nhật Ánh,"Học thuộc lòng bài thơ, cảm nhận niềm đam mê đọc sách và mở rộng tri thức qua từng trang sách.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 70, 71 (Chủ điểm 4: Mái trường thân yêu)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,17,tv-g2-b17,Bài 17: Gọi bạn,Định Hải,"Học thuộc lòng bài thơ, cảm nhận tình bạn thủy chung, son sắt giữa Bê Vàng và Dê Trắng.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 74, 75 (Chủ điểm 4: Mái trường thân yêu)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 1,18,tv-g2-b18,Bài 18: Nhím nâu kết bạn,NXB Giáo Dục VN,"Đọc hiểu câu chuyện, học cách mở lòng kết bạn và chia sẻ niềm vui với mọi người xung quanh.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập một — Trang 78, 79 (Chủ điểm 4: Mái trường thân yêu)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-mot.4698590737
Lớp 2,Học kỳ 2,19,tv-g2-b19,Bài 19: Chuyện bốn mùa,Hoàng Như Mai,"Đọc hiểu câu chuyện bốn mùa, nhận biết đặc điểm và vẻ đẹp riêng của từng mùa trong năm.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập hai — Trang 10, 11 (Chủ điểm 5: Vẻ đẹp bốn mùa)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-hai.4698600732
Lớp 2,Học kỳ 2,20,tv-g2-b20,Bài 20: Mùa vàng,Nguyễn Viết Bình,"Học thuộc lòng bài thơ, cảm nhận vẻ đẹp mùa gặt và biết ơn công sức của bác nông dân.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập hai — Trang 18, 19 (Chủ điểm 5: Vẻ đẹp bốn mùa)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-hai.4698600732
Lớp 2,Học kỳ 2,21,tv-g2-b21,Bài 21: Mưa mùa hạ,NXB Giáo Dục VN,"Đọc diễn cảm bài văn miêu tả cơn mưa rào mùa hạ, cảm nhận sức sống hồi sinh của thiên nhiên.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập hai — Trang 22, 23 (Chủ điểm 5: Vẻ đẹp bốn mùa)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-hai.4698600732
Lớp 2,Học kỳ 2,22,tv-g2-b22,Bài 22: Chim rừng Tây Nguyên,Thi Sảnh,Cảm nhận vẻ đẹp phong phú của thế giới loài chim và cảnh sắc hùng vĩ của núi rừng Tây Nguyên.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập hai — Trang 26, 27 (Chủ điểm 6: Thế giới loài vật)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-hai.4698600732
Lớp 2,Học kỳ 2,23,tv-g2-b23,Bài 23: Bác sĩ Sói,Truyện ngụ ngôn,"Đọc hiểu truyện ngụ ngôn, ca ngợi sự bình tĩnh, thông minh của Ngựa trước kẻ gian xảo.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập hai — Trang 30, 31 (Chủ điểm 6: Thế giới loài vật)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-hai.4698600732
Lớp 2,Học kỳ 2,24,tv-g2-b24,Bài 24: Tôm Càng và Cá Con,NXB Giáo Dục VN,"Đọc hiểu câu chuyện, học tập lòng dũng cảm, nhanh trí cứu bạn trong lúc hiểm nguy.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập hai — Trang 34, 35 (Chủ điểm 6: Thế giới loài vật)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-hai.4698600732
Lớp 2,Học kỳ 2,25,tv-g2-b25,Bài 25: Bác Hồ rèn luyện thân thể,NXB Giáo Dục VN,"Noi gương Bác Hồ rèn luyện thân thể, nâng cao ý thức tập thể dục bảo vệ sức khỏe.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập hai — Trang 44, 45 (Chủ điểm 7: Bác Hồ kính yêu)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-hai.4698600732
Lớp 2,Học kỳ 2,26,tv-g2-b26,Bài 26: Ai ngoan sẽ được thưởng,NXB Giáo Dục VN,"Đọc hiểu câu chuyện, học tập đức tính thật thà, dũng cảm nhận lỗi của bạn Tộ.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập hai — Trang 48, 49 (Chủ điểm 7: Bác Hồ kính yêu)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-hai.4698600732
Lớp 2,Học kỳ 2,27,tv-g2-b27,Bài 27: Cờ đỏ sao vàng,NXB Giáo Dục VN,Hiểu ý nghĩa thiêng liêng của lá Quốc kỳ Việt Nam và bồi dưỡng lòng yêu nước cho học sinh.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập hai — Trang 56, 57 (Chủ điểm 8: Đất nước và con người)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-hai.4698600732
Lớp 2,Học kỳ 2,28,tv-g2-b28,Bài 28: Em yêu biển đảo quê hương,Đoàn Minh Tuấn,"Đọc diễn cảm bài thơ, bồi dưỡng tình yêu biển đảo quê hương và sự biết ơn các chú bộ đội hải quân.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập hai — Trang 60, 61 (Chủ điểm 8: Đất nước và con người)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-hai.4698600732
Lớp 2,Học kỳ 2,29,tv-g2-b29,Bài 29: Lượm hạt thóc vàng,Đồng dao Việt Nam,"Đọc hiểu bài đồng dao, giáo dục đức tính tiết kiệm và trân quý từng hạt ngọc của đất trời.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập hai — Trang 68, 69 (Chủ điểm 8: Đất nước và con người)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-hai.4698600732
Lớp 2,Học kỳ 2,30,tv-g2-b30,Bài 30: Chuyến phiêu lưu của Giọt Nước,NXB Giáo Dục VN,"Đọc hiểu câu chuyện vòng tuần hoàn của nước trong tự nhiên, nâng cao ý thức bảo vệ nguồn nước sạch.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 2 Tập hai — Trang 74, 75 (Chủ điểm 8: Đất nước và con người)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-2-tap-hai.4698600732
Lớp 3,Học kỳ 1,1,tv-g3-b1,Bài 1: Chiếc nhãn vở đặc biệt,Nguyễn Thị Kim Hòa,"Đọc trôi chảy toàn bài, hiểu được niềm vui và sự tự lập của bạn nhỏ khi tự tay viết chiếc nhãn vở đầu tiên.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập một — Trang 10, 11 (Chủ điểm 1: Những búp măng non)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-mot.4698680579
Lớp 3,Học kỳ 1,2,tv-g3-b2,Bài 2: Lắng nghe những ước mơ,NXB Giáo Dục VN,Tự tin chia sẻ ước mơ nghề nghiệp và có ý thức rèn luyện bản thân để biến ước mơ thành hiện thực.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 3 Tập một — Trang 14, 15 (Chủ điểm 1: Những búp măng non)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-3-tap-mot.4698680579
