fileName,relativePath,extension,initialClass,inferredGrades,subject,sha256,decision
VIOLYMPIC TOÁN 2_316 CÂU HỎI ÔN TẬP VÒNG QUỐC GIA_2025-2026_THẦY NAM THẮNG_PHẦN ĐỀ.pdf,20252026 VIOLYMPIC TOÁN VQG/VIOLYMPIC TOÁN 2_316 CÂU HỎI ÔN TẬP VÒNG QUỐC GIA_2025-2026_THẦY NAM THẮNG_PHẦN ĐỀ.pdf,.pdf,non-OCR,2,math,25F3D5AD5A3CA7B326FB4873C67FF0D88F09863E289B7A8C937352415F8E1C9C,Bỏ qua — bản sao trùng hash
VIOLYMPIC TOÁN 3_308 CÂU HỎI ÔN TẬP VÒNG QUỐC GIA_2025-2026_THẦY NAM THẮNG_PHẦN ĐÁP ÁN.pdf,20252026 VIOLYMPIC TOÁN VQG/VIOLYMPIC TOÁN 3_308 CÂU HỎI ÔN TẬP VÒNG QUỐC GIA_2025-2026_THẦY NAM THẮNG_PHẦN ĐÁP ÁN.pdf,.pdf,non-OCR,3,math,A20B8354EBB7250B131F31B9A7633DDE4FC088363CF62B9E04B54E97B8F57452,Bỏ qua — bản sao trùng hash
VIOLYMPIC TOÁN 3_308 CÂU HỎI ÔN TẬP VÒNG QUỐC GIA_2025-2026_THẦY NAM THẮNG_PHẦN ĐỀ.pdf,20252026 VIOLYMPIC TOÁN VQG/VIOLYMPIC TOÁN 3_308 CÂU HỎI ÔN TẬP VÒNG QUỐC GIA_2025-2026_THẦY NAM THẮNG_PHẦN ĐỀ.pdf,.pdf,non-OCR,3,math,F503CDC73585DCEB4407590EB3F1DAF8A15972C52ED01A46B33CE4A202D19145,Bỏ qua — bản sao trùng hash
ĐỀ TTV2 QG 2026.HN.pdf,20252026 VIOLYMPIC TOÁN VQG/ĐỀ TTV2 QG 2026.HN.pdf,.pdf,non-OCR,2,math,31FCDFF6866E31925CD8533C1F4049B05061E9174954A6189EBFF3AFDCE177BE,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
ĐỀ TTV3 QG 2026.pdf,20252026 VIOLYMPIC TOÁN VQG/ĐỀ TTV3 QG 2026.pdf,.pdf,non-OCR,3,math,D6C235CCBF6797FA2C2F398B1012285239E2BCCCD37AA2F24D96E4BDF8D1F201,Đã nhập nguồn — 2 câu kiểm chứng
252-de-thi-toan-violympic-lop-3(1).pdf,252-de-thi-toan-violympic-lop-3(1).pdf,.pdf,non-OCR,3,math,C8B3ED740ED7267F0912E55F5E592BBEE016B01C01F316AE9743D1B8497FEA3B,Bỏ qua — bản sao trùng hash
252-de-thi-toan-violympic-lop-3.pdf,252-de-thi-toan-violympic-lop-3.pdf,.pdf,non-OCR,3,math,C8B3ED740ED7267F0912E55F5E592BBEE016B01C01F316AE9743D1B8497FEA3B,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
3. Luyện OLYMPIC L3 ok.doc,3. Luyện OLYMPIC L3 ok.doc,.doc,non-OCR,3,math,26C3298FE93E82FD93C6343DD9165336F77B8A85D5B694A803E13CBC236CF98F,Bỏ qua — định dạng DOC cũ chưa đọc trực tiếp an toàn
BỘ ĐỀ THI VIOLYPIC TOÁN LỚP 2 CÓ ĐÁP ÁN.pdf,BỘ ĐỀ THI VIOLYPIC TOÁN LỚP 2 CÓ ĐÁP ÁN.pdf,.pdf,non-OCR,2,math,918A825B29EDA1715052F0DBCF9E448976BB2615F762BAEA5A028788E66801BF,Đã nhập nguồn — 2 câu kiểm chứng
cac-dang-toan-tu-luyen-thi-violympic-toan-lop-2.pdf,cac-dang-toan-tu-luyen-thi-violympic-toan-lop-2.pdf,.pdf,non-OCR,2,math,F505660B4A506802778C62A236CDC13281EA64480BF95C90E1DE56D221AF676F,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
CT-V7-TTA2-PHANDE.pdf,CT-V7-TTA2-PHANDE.pdf,.pdf,OCR/scan,2,math_en,4ACC81B3945B1B304C8DC5096FB43A01638BA70F1718D3E83EC788C45AF3B8E4,Bỏ qua — cần OCR
TTV3-VONG10-PHANDAPAN.pdf,DE THI TU VONG 1-9  violympic TTV LỚP 3/LỚP 3/TTV3-VONG10-PHANDAPAN.pdf,.pdf,OCR/scan,3,math,6B5F3041141F23E18EA6591EB416851C356387EDF77B1B358D8B06382B30D4D9,Bỏ qua — cần OCR
TTV3-VONG10-PHANDE.pdf,DE THI TU VONG 1-9  violympic TTV LỚP 3/LỚP 3/TTV3-VONG10-PHANDE.pdf,.pdf,OCR/scan,3,math,307D8D2B97B29B8742B79E4688208D21466D1CBA7498AB98B1E4141BED90C3AC,Bỏ qua — cần OCR
TTV3-VONG2-PHANDE.pdf,DE THI TU VONG 1-9  violympic TTV LỚP 3/LỚP 3/TTV3-VONG2-PHANDE.pdf,.pdf,OCR/scan,3,math,437F153D58AB12AC91093025E8C2A15A785BD6EDE1EF9884760246C3F2680D8B,Bỏ qua — cần OCR
TTV3-VONG4-PHANDE.pdf,DE THI TU VONG 1-9  violympic TTV LỚP 3/LỚP 3/TTV3-VONG4-PHANDE.pdf,.pdf,OCR/scan,3,math,A7C0D061FBF8525371E8D5BF2A1193D84E61FAF2A476D22118CE44D1BBB45998,Bỏ qua — cần OCR
TTV3-VONG5-PHANDAPAN.pdf,DE THI TU VONG 1-9  violympic TTV LỚP 3/LỚP 3/TTV3-VONG5-PHANDAPAN.pdf,.pdf,OCR/scan,3,math,F9B593DB05B984C3ED70DBA4899D866BB0D3A177BDE20CE3BE1FC5BE57F5C3DA,Bỏ qua — cần OCR
TTV3-VONG5-PHANDE.pdf,DE THI TU VONG 1-9  violympic TTV LỚP 3/LỚP 3/TTV3-VONG5-PHANDE.pdf,.pdf,OCR/scan,3,math,1FAAB446286278E4EEDABE66104D37B79EAD53ACCA8D0C64ECBC8B702ECC4A81,Bỏ qua — cần OCR
TTV3-VONG6-PHANDE.pdf,DE THI TU VONG 1-9  violympic TTV LỚP 3/LỚP 3/TTV3-VONG6-PHANDE.pdf,.pdf,OCR/scan,3,math,D9B8CC849F40641511A1ACD5F97DED03D73AF12404B5AB33C36079B873C3DFDE,Bỏ qua — cần OCR
TTV3-VONG7-PHANDAPAN.pdf,DE THI TU VONG 1-9  violympic TTV LỚP 3/LỚP 3/TTV3-VONG7-PHANDAPAN.pdf,.pdf,OCR/scan,3,math,60748F4756842F71C9AD6475145A0E853D201D473C13FA5E003CD4E043C2814B,Bỏ qua — cần OCR
TTV3-VONG7-PHANDE.pdf,DE THI TU VONG 1-9  violympic TTV LỚP 3/LỚP 3/TTV3-VONG7-PHANDE.pdf,.pdf,OCR/scan,3,math,7370D9B9634CFB1FE985B18494E8FA107CE3255A2C0AEA44279C85919A6A2E5C,Bỏ qua — cần OCR
TTV3-VONG8-PHANDAPAN.pdf,DE THI TU VONG 1-9  violympic TTV LỚP 3/LỚP 3/TTV3-VONG8-PHANDAPAN.pdf,.pdf,OCR/scan,3,math,03D0343F10C566C715CC1B24B8806B1F7C9C6BDED0EAF242653064E5D6456A47,Bỏ qua — cần OCR
TTV3-VONG8-PHANDE.pdf,DE THI TU VONG 1-9  violympic TTV LỚP 3/LỚP 3/TTV3-VONG8-PHANDE.pdf,.pdf,OCR/scan,3,math,E73CFAFB93CAF7F90B1BFB05726E7333140D1D852DC3B1E63E9788F4FACB6732,Bỏ qua — cần OCR
TTV5-VONG1-PHANDE.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG1-PHANDE.pdf,.pdf,OCR/scan,5,math,F3D82D6729531682955849FC073911B5FCBADABB4A320120F4CB9E3662390463,Bỏ qua — cần OCR
TTV5-VONG2-PHANDAPAN.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG2-PHANDAPAN.pdf,.pdf,OCR/scan,5,math,FB638DE549E5E75AFE8915A50D62DBA5F0FE3208C1E036D8F9F65A67B5568F1A,Bỏ qua — cần OCR
TTV5-VONG2-PHANDE.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG2-PHANDE.pdf,.pdf,OCR/scan,5,math,04F8C549A5FAADAC5DC920455C10B5E46815BD804C108C7AC57C588AA048AB6F,Bỏ qua — cần OCR
TTV5-VONG3-PHANDE.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG3-PHANDE.pdf,.pdf,OCR/scan,5,math,2AD5821CE3B16230A195CA733A026178FBDC1E1275F5EF9A60552FFFB2A37B42,Bỏ qua — cần OCR
TTV5-VONG4-PHANDAPAN.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG4-PHANDAPAN.pdf,.pdf,OCR/scan,5,math,0B8430FA0A2E3F11E178A95826213D24CF15CC179911CCE8D3522E541C643E75,Bỏ qua — cần OCR
TTV5-VONG4-PHANDE.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG4-PHANDE.pdf,.pdf,OCR/scan,5,math,409EB8D4474701CBB00EA9CC21A0448FB42D60C0165D9580BC156F9ECF26B81A,Bỏ qua — cần OCR
TTV5-VONG5-PHANDAPAN.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG5-PHANDAPAN.pdf,.pdf,OCR/scan,5,math,518CF1A1C6C9B1D29F00730B7558756136A0F2852329620A0D34EC506D90E7B8,Bỏ qua — cần OCR
TTV5-VONG5-PHANDE.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG5-PHANDE.pdf,.pdf,OCR/scan,5,math,645FA0CB78D4E61256F3DFF22D0683156BD8CF601E6E49CDF23DB92CB0C1F24A,Bỏ qua — cần OCR
TTV5-VONG6-PHANDAPAN.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG6-PHANDAPAN.pdf,.pdf,OCR/scan,5,math,D46803348180A6F021378986DB09AEA12980676E1756B19446CA8306C1A9B177,Bỏ qua — cần OCR
TTV5-VONG6-PHANDE.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG6-PHANDE.pdf,.pdf,OCR/scan,5,math,294D52B0A60C2F18F53C6858691F4CC8B89875F5A11A884CCE288696D00FFC38,Bỏ qua — cần OCR
TTV5-VONG7-PHANDAPAN.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG7-PHANDAPAN.pdf,.pdf,OCR/scan,5,math,3D3E51489D2ADCDAC61FFA88029D3ED393D93DF19EDD223B50368422F30C5621,Bỏ qua — cần OCR
TTV5-VONG7-PHANDE.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG7-PHANDE.pdf,.pdf,OCR/scan,5,math,1F4023B982CDA7B3B989E0C2C631595FCAC97AE5AD9244668A01DEE7AAFA940F,Bỏ qua — cần OCR
TTV5-VONG8--PHANDE.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG8--PHANDE.pdf,.pdf,OCR/scan,5,math,B629F765CDE1182044F1387730C9DC71B7CBFEE56628D9C263ACCBBB7FBFD203,Bỏ qua — cần OCR
TTV5-VONG8-PHANDAPAN.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG8-PHANDAPAN.pdf,.pdf,OCR/scan,5,math,2C33B4F6EE8D4ECE1F95582A0A4AEE07C352E8D1735E82D9EB0433A13C4C92E9,Bỏ qua — cần OCR
TTV5-VONG9-PHANDAPAN.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG9-PHANDAPAN.pdf,.pdf,OCR/scan,5,math,C6FC9D6E1B4F2141BF5F40C39D3B4C06D8C136754DF848291939CD06A0DB71C4,Bỏ qua — cần OCR
TTV5-VONG9-PHANDE.pdf,DE THI TỪ VÒNG 1-9 violympic  TTV LỚP 5/LỚP 5/TTV5-VONG9-PHANDE.pdf,.pdf,OCR/scan,5,math,E28760BF8AEC1A51426FD2817F364123E4BA5D169FFB8D374588827AF54FD175,Bỏ qua — cần OCR
Ngày 1. TTV lớp 1 mã 3.pdf,de thi violympic 2526/K1/Ngày 1. TTV lớp 1 mã 3.pdf,.pdf,OCR/scan,1,math,18C554F72CAAE8F8169B8771B4B897052C2045E1321D43E548243D68C94F44C8,Bỏ qua — cần OCR
Ngày 1. TTV lớp 1 mã 4.pdf,de thi violympic 2526/K1/Ngày 1. TTV lớp 1 mã 4.pdf,.pdf,OCR/scan,1,math,BF1BBFAEAA29BBF0FC37E23D3F1C999AAC4FBCCD39829925660A5242620F8B0F,Bỏ qua — cần OCR
Ngày 1. TTA lớp 1 mã 1.pdf,de thi violympic 2526/K1/tta/Ngày 1. TTA lớp 1 mã 1.pdf,.pdf,OCR/scan,1,math,2C0B5067FF22CB8812A286BF67DD499E12F6291C476471B5FA9B26369964506F,Bỏ qua — cần OCR
Ctr. TTV lớp 1 mã 1.pdf,de thi violympic 2526/K1/ttv/Ctr. TTV lớp 1 mã 1.pdf,.pdf,OCR/scan,1,math,4B699D5ABBB23C82EE46B6F6F591FEFF275E89F5447AD7EBD877E155B934E888,Bỏ qua — cần OCR
Ngày 1.TTV lớp 3 mã 1.pdf,de thi violympic 2526/K3/ttv/Ngày 1.TTV lớp 3 mã 1.pdf,.pdf,OCR/scan,3,math,C4FF3848887D505BFAE4FC90901B7DC787F40AEB7CDD7F1FFA7B7454E18F5145,Bỏ qua — cần OCR
Violympic_TV3_thi cấp Trường_mã 01_25-26.pdf,de thi violympic 2526/K3/tv/Violympic_TV3_thi cấp Trường_mã 01_25-26.pdf,.pdf,non-OCR,3,vietnamese,06B6395D00C475E1C4D3B335DDDC728217CED89771E6D90541783B500EF2699E,Bỏ qua — bản sao trùng hash
Ngày 1.TTV5 đề 1.pdf,de thi violympic 2526/K5/ttv/Ngày 1.TTV5 đề 1.pdf,.pdf,OCR/scan,5,math,5D2D4F7602DCAA712ACFF6C96B73191958487462B9CA4163B0C8A58A1FD4D9CB,Bỏ qua — cần OCR
Ngày 1.TTV5 đề 2.pdf,de thi violympic 2526/K5/ttv/Ngày 1.TTV5 đề 2.pdf,.pdf,OCR/scan,5,math,B4A040C72DE6720BFB7C4D4FEE315F3CB6C5276A5CE91A4A7F2EF4B5659525CF,Bỏ qua — cần OCR
Tiệm sách nhà Noel - Tết.pdf,de thi violympic 2526/Tiệm sách nhà Noel - Tết.pdf,.pdf,non-OCR,2,math,F5BF9ECE059BBD7A7597E7C7BA53FCB0985B4EB787394DA917E6BC868CCD9085,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
Lớp 1 sách ôn toán Violympic.pdf,Hướng dẫn giải Toán Violympic/Lớp 1 sách ôn toán Violympic.pdf,.pdf,OCR/scan,1,math,720B37419C83CF9BA7624B680C0449162D6099E96595A2B44B717AA9FFAE5661,Bỏ qua — cần OCR
Lớp 2 sách Toán Violympic.pdf,Hướng dẫn giải Toán Violympic/Lớp 2 sách Toán Violympic.pdf,.pdf,OCR/scan,2,math,CBD48C37AC9D24912E38A005A0B0A93D91FED29CE09F43D2281724A2C07A55D5,Bỏ qua — cần OCR
Lớp 3 sách Toán Violympic.pdf,Hướng dẫn giải Toán Violympic/Lớp 3 sách Toán Violympic.pdf,.pdf,OCR/scan,3,math,E386F6DB5499F3D72FB170CD7AEC799C6F1E9D53F55F2DA8D30D4BD52D33B6D2,Bỏ qua — cần OCR
Lớp 5 sách toán Violympic.pdf,Hướng dẫn giải Toán Violympic/Lớp 5 sách toán Violympic.pdf,.pdf,OCR/scan,5,math,E3787BEE0EF7C192E34D9130BFF2E459F979DB19720503C6B1E09B9FAC9B924A,Bỏ qua — cần OCR
L1 gốc Violympic.pdf,L1 gốc Violympic.pdf,.pdf,OCR/scan,1,math,7F0CCCF1AB476CF78C6805FDEAA7CF96B4FCE1EDD98E8D0D414EE7DDB8504895,Bỏ qua — cần OCR
L2 gốc Violympic.pdf,L2 gốc Violympic.pdf,.pdf,OCR/scan,2,math,8A6AAA40C96141DFC622297E7F16BC2C1DC11D91282E1AB5B4CDE17528C58AA4,Bỏ qua — cần OCR
L3 gốc Violympic.pdf,L3 gốc Violympic.pdf,.pdf,OCR/scan,3,math,9079CADAE20C12EA27F34DF84ADE5C22C787A541424F892C4245A2D673C8B968,Bỏ qua — cần OCR
L4 gốc Violympic.pdf,L4 gốc Violympic.pdf,.pdf,OCR/scan,4,math,459801A2289D18E033BD812B5E0D2398AB90648A6B9C2512DDEED8C40F4AAB29,Bỏ qua — cần OCR
L5 gốc Violympic.pdf,L5 gốc Violympic.pdf,.pdf,OCR/scan,5,math,181AF8A87251CB43C9600E6078F15E155A29B18A22683BD2FDBA847EC4AE2579,Bỏ qua — cần OCR
Violympic TTV1-CAPTINH2526-PHAN DAP AN.pdf,Lớp 1/Violympic TTV1-CAPTINH2526-PHAN DAP AN.pdf,.pdf,OCR/scan,1,math,778E2A06193D98820622CB6FDA2C85F0B69F2275FBD1F867545E3F3C5D24696E,Bỏ qua — cần OCR
TTV2-CAPTINH-PHANDAPAN 2526.pdf,Lớp 2/TTV2-CAPTINH-PHANDAPAN 2526.pdf,.pdf,OCR/scan,2,math,437A2100E6D37BB11E857426F7191BC0AF9E60F35ADF73E7578D9A58BABE5A5E,Bỏ qua — cần OCR
TTV2-CAPTINH-PHANDE 2526.pdf,Lớp 2/TTV2-CAPTINH-PHANDE 2526.pdf,.pdf,OCR/scan,2,math,289CDB9D4C0B987B990B27B2E13DFBC2754E83D77C032D149645428FD56A4841,Bỏ qua — cần OCR
TTV2-V7-OCT-PHANDAPAN.pdf,Lớp 2/TTV2-V7-OCT-PHANDAPAN.pdf,.pdf,OCR/scan,2,math,47EAAD3E54F8E143B9B299C341FCBE3CA5FABCDC9B5BA944590503FF2BAF31A1,Bỏ qua — cần OCR
Lớp 2_Mã 1_Cấp tỉnh-TTV violympic.pdf,Lớp 2/ĐỀ THI THẬT TỈNH NĂM 2025 VIOLYMPIC lớp 2/Lớp 2_Mã 1_Cấp tỉnh-TTV violympic.pdf,.pdf,non-OCR,2,math,85986FE9D8ED2C9FAA0CD92975C3C9338EE62614E564C944FC90FF0CE9165A32,Bỏ qua — bản sao trùng hash
Lớp 2_mã 2_cấp tỉnh.pdf,Lớp 2/ĐỀ THI THẬT TỈNH NĂM 2025 VIOLYMPIC lớp 2/Lớp 2_mã 2_cấp tỉnh.pdf,.pdf,non-OCR,2,math,BC83757B5CBF4AA656263FDF067F1B81D23C99FBF953638C39120CEBC5DE235B,Bỏ qua — bản sao trùng hash
Lớp 2_Mã 3_tỉnh.pdf,Lớp 2/ĐỀ THI THẬT TỈNH NĂM 2025 VIOLYMPIC lớp 2/Lớp 2_Mã 3_tỉnh.pdf,.pdf,non-OCR,2,math,ACAF03783FA798C1685934DD88699B3B1F277AEB71B87199BCBACFA550498FEC,Bỏ qua — bản sao trùng hash
TTA2 cấp tỉnh (Mã 01)_2024-2025.pdf,Lớp 2/ĐỀ THI THẬT TỈNH NĂM 2025 VIOLYMPIC lớp 2/TTA2 cấp tỉnh (Mã 01)_2024-2025.pdf,.pdf,non-OCR,2,math_en,73FDE2B57EEB376326134E6F7ABC1E252D29492272A30CC1835BD3401C35BE57,Bỏ qua — bản sao trùng hash
TV2 cấp tỉnh (Mã 01)_2024-2025.pdf,Lớp 2/ĐỀ THI THẬT TỈNH NĂM 2025 VIOLYMPIC lớp 2/TV2 cấp tỉnh (Mã 01)_2024-2025.pdf,.pdf,non-OCR,2,vietnamese,ADEB4BA39F5352FF8FC7633B948A42674FBD0DE6194F9FE5F93C5A0A2F048A6E,Bỏ qua — bản sao trùng hash
ONCT-TTV3-PHANDAPAN.pdf,Lớp 3/ONCT-TTV3-PHANDAPAN.pdf,.pdf,OCR/scan,3,math,03F4710DAD638986B2D1D4DF9D59EEB57DD0502E37BEF519C3C955E290D613A8,Bỏ qua — cần OCR
Violympic Math grade 4.pdf,Lớp 4/Violympic Math grade 4.pdf,.pdf,non-OCR,4,math_en,9D016FDD46BEACDF690F9DB0919B7047C50B031C133CED20F9E06866A55CCF9D,Đã nhập nguồn — 2 câu kiểm chứng
Violympic TTV5-CAPTINH2526-PHAN DAP AN.pdf,Lớp 5/Violympic TTV5-CAPTINH2526-PHAN DAP AN.pdf,.pdf,OCR/scan,5,math,08C5074CF4453C39FEC13C9F00FF00705606F1DE4A2E0EC8D9ED3E87F9433014,Bỏ qua — cần OCR
Đề thi toán TA các vòng.pdf,sách VIOLYMPIC Toán tiếng anh/Lớp 1/Đề thi toán TA các vòng.pdf,.pdf,non-OCR,1,math_en,00C37926603CFC3129D33ABEF4CDE690589ACE2065E8034E6096BDEA29610F1E,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
de-luyen-thi-violympic-toan-tieng-anh-lop-2.pdf,sách VIOLYMPIC Toán tiếng anh/Lớp 2/de-luyen-thi-violympic-toan-tieng-anh-lop-2.pdf,.pdf,non-OCR,2,math_en,3155B600E68C7EBF5F051E5EBDC8D805A3EBDF22263440082F9C4A0B24EDD542,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
